Handle,TwitterID,twitter_url,team_individual,Team,Game,HyperX_Logo,HyperX_Logo_Featured,tweets
EvilGeniuses,\N,https://www.twitter.com/EvilGeniuses,Team,Evil Geniuses,,1,0,\N
EGJaedong,\N,https://www.twitter.com/EGJaedong,Individual,Evil Geniuses,Starcraft,0,0,\N
LorangerChris,\N,https://www.twitter.com/LorangerChris,Individual,Evil Geniuses,Starcraft,1,0,\N
EGXeno,\N,https://www.twitter.com/EGXeno,Individual,Evil Geniuses,Starcraft,1,0,\N
EGSuppy,\N,https://www.twitter.com/EGSuppy,Individual,Evil Geniuses,Starcraft,1,0,\N
DeMusliM,\N,https://www.twitter.com/DeMusliM,Individual,Evil Geniuses,Starcraft,1,0,\N
EGThorZaIN,\N,https://www.twitter.com/EGThorZaIN,Individual,Evil Geniuses,Starcraft,1,0,\N
EGiNcontroL,\N,https://www.twitter.com/EGiNcontroL,Individual,Evil Geniuses,Starcraft,1,0,\N
yellowpeteLoL,\N,https://www.twitter.com/yellowpeteLoL,Individual,Evil Geniuses,LoL,1,0,\N
SkumbagKrepo,\N,https://www.twitter.com/SkumbagKrepo,Individual,Evil Geniuses,LoL,0,0,\N
snoopeh,\N,https://www.twitter.com/snoopeh,Individual,Evil Geniuses,LoL,0,0,\N
1nnoX,\N,https://www.twitter.com/1nnoX,Individual,Evil Geniuses,LoL,1,0,\N
imPobelter,\N,https://www.twitter.com/imPobelter,Individual,Evil Geniuses,LoL,0,0,\N
PR_Balrog,\N,https://www.twitter.com/PR_Balrog,Individual,Evil Geniuses,Fighting Games,1,0,\N
chocoblanka,\N,https://www.twitter.com/chocoblanka,Individual,Evil Geniuses,Fighting Games,1,0,\N
JWonggg,\N,https://www.twitter.com/JWonggg,Individual,Evil Geniuses,Fighting Games,1,0,\N
momochi212,\N,https://www.twitter.com/momochi212,Individual,Evil Geniuses,Fighting Games,1,0,\N
UniverseDota,\N,https://www.twitter.com/UniverseDota,Individual,Evil Geniuses,Dota,1,0,\N
FoggedDota,\N,https://www.twitter.com/FoggedDota,Individual,Evil Geniuses,Dota,0,0,\N
ppdDota,\N,https://www.twitter.com/ppdDota,Individual,Evil Geniuses,Dota,1,0,\N
FearDotA,\N,https://www.twitter.com/FearDotA,Individual,Evil Geniuses,Dota,1,0,\N
Arteezy,\N,https://www.twitter.com/Arteezy,Individual,Evil Geniuses,Dota,1,0,\N
MachineUSA,\N,https://www.twitter.com/MachineUSA,Individual,Evil Geniuses,Personnel,0,0,\N
ayesee,\N,https://www.twitter.com/ayesee,Individual,Evil Geniuses,Personnel,0,0,\N
ChuckDewland,\N,https://www.twitter.com/ChuckDewland,Individual,Evil Geniuses,WoW,0,0,\N
HWAGaming,\N,https://www.twitter.com/HWAGaming,Team,HWA,,1,0,\N
TeamIM_,\N,https://www.twitter.com/TeamIM_,Team,Incredible Miracle,,0,0,\N
inFerno_eSports,\N,https://www.twitter.com/inFerno_eSports,Team,Inferno,,0,0,\N
teamisurus,\N,https://www.twitter.com/teamisurus,Team,Isurus,,0,0,\N
k1ckesports,\N,https://www.twitter.com/k1ckesports,Team,K1ck e-Sports,,1,0,\N
LGDgaming,\N,https://www.twitter.com/LGDgaming,Team,LGD,,1,0,\N
xAtri3,\N,https://www.twitter.com/xAtri3,Individual,LoL Mods,LoL,0,0,\N
kingkrapp,\N,https://www.twitter.com/kingkrapp,Individual,LoL Mods,LoL,0,0,\N
BuckeyeSundae,\N,https://www.twitter.com/BuckeyeSundae,Individual,LoL Mods,LoL,0,0,\N
nojitosunrise,\N,https://www.twitter.com/nojitosunrise,Individual,LoL Mods,LoL,0,0,\N
p00rleno,\N,https://www.twitter.com/p00rleno,Individual,LoL Mods,LoL,0,0,\N
TheEnigmaBlade,\N,https://www.twitter.com/TheEnigmaBlade,Individual,LoL Mods,LoL,0,0,\N
TeamLiquidPro,\N,https://www.twitter.com/TeamLiquidPro,Team,Liquid,LoL,1,1,\N
Liquidixmike88,\N,https://www.twitter.com/Liquidixmike88,Individual,Liquid,Personnel,0,0,\N
LiquidHayprO,\N,https://www.twitter.com/LiquidHayprO,Individual,Liquid,Personnel,0,0,\N
LiquidNazgul,\N,https://www.twitter.com/LiquidNazgul,Individual,Liquid,Personnel,0,0,\N
robinnymann,\N,https://www.twitter.com/robinnymann,Individual,Liquid,Personnel,1,1,\N
treehuggertl,\N,https://www.twitter.com/treehuggertl,Individual,Liquid,Personnel,0,0,\N
R1CH_TL,\N,https://www.twitter.com/R1CH_TL,Individual,Liquid,Personnel,0,0,\N
LiquidFLUFF,\N,https://www.twitter.com/LiquidFLUFF,Individual,Liquid,Dota,0,0,\N
LiquidTC,\N,https://www.twitter.com/LiquidTC,Individual,Liquid,Dota,0,0,\N
LiquidBuLba,\N,https://www.twitter.com/LiquidBuLba,Individual,Liquid,Dota,0,0,\N
Liquidwayto,\N,https://www.twitter.com/Liquidwayto,Individual,Liquid,Dota,0,0,\N
Liquidqojqva,\N,https://www.twitter.com/Liquidqojqva,Individual,Liquid,Dota,0,0,\N
Liquid_MaNa,\N,https://www.twitter.com/Liquid_MaNa,Individual,Liquid,Starcraft,0,0,\N
LiquidRet,\N,https://www.twitter.com/LiquidRet,Individual,Liquid,Starcraft,1,1,\N
LiquidTLO,\N,https://www.twitter.com/LiquidTLO,Individual,Liquid,Starcraft,0,0,\N
LiquidSheth,\N,https://www.twitter.com/LiquidSheth,Individual,Liquid,Starcraft,0,0,\N
LiquidTaeJa,\N,https://www.twitter.com/LiquidTaeJa,Individual,Liquid,Starcraft,0,0,\N
LiquidSnute,\N,https://www.twitter.com/LiquidSnute,Individual,Liquid,Starcraft,1,1,\N
Liquid_Bunny,\N,https://www.twitter.com/Liquid_Bunny,Individual,Liquid,Starcraft,0,0,\N
LiquidSea,\N,https://www.twitter.com/LiquidSea,Individual,Liquid,Starcraft,0,0,\N
natusvincere,\N,https://www.twitter.com/natusvincere,Team,Natus Vincere,,1,0,\N
xeozor21,\N,https://www.twitter.com/xeozor21,Individual,Natus Vincere,Personnel,0,0,\N
March3llo,\N,https://www.twitter.com/March3llo,Individual,Natus Vincere,Personnel,0,0,\N
zerogravity_ua,\N,https://www.twitter.com/zerogravity_ua,Individual,Natus Vincere,Personnel,0,0,\N
prbshechka,\N,https://www.twitter.com/prbshechka,Individual,Natus Vincere,Personnel,0,0,\N
seizedwf,\N,https://www.twitter.com/seizedwf,Individual,Natus Vincere,CS:Go,1,1,\N
OfficialXizt,\N,https://www.twitter.com/OfficialXizt,Individual,Natus Vincere,CS:Go,0,0,\N
IaonnSukhariev,\N,https://www.twitter.com/IaonnSukhariev,Individual,Natus Vincere,CS:Go,0,0,\N
sergeyischuk,\N,https://www.twitter.com/sergeyischuk,Individual,Natus Vincere,CS:Go,0,0,\N
NaViKuroKy,\N,https://www.twitter.com/NaViKuroKy,Individual,Natus Vincere,Dota,0,0,\N
CLEMENTINATOR,\N,https://www.twitter.com/CLEMENTINATOR,Individual,Natus Vincere,Dota,0,0,\N
NaViXBOCT,\N,https://www.twitter.com/NaViXBOCT,Individual,Natus Vincere,Dota,0,0,\N
Funn1kDota,\N,https://www.twitter.com/Funn1kDota,Individual,Natus Vincere,Dota,0,0,\N
DendiBoss,\N,https://www.twitter.com/DendiBoss,Individual,Natus Vincere,Dota,0,0,\N
OfficialYozhyk,\N,https://www.twitter.com/OfficialYozhyk,Individual,Natus Vincere,FIFA,0,0,\N
HappyZerg1,\N,https://www.twitter.com/HappyZerg1,Individual,Natus Vincere,Starcraft,0,0,\N
NaVi_WoT,\N,https://www.twitter.com/NaVi_WoT,Team,Natus Vincere,World of Tanks,0,0,\N
OrangeEsports,\N,https://www.twitter.com/OrangeEsports,Team,Orange,,0,0,\N
TeamQuetzal,\N,https://www.twitter.com/TeamQuetzal,Team,Quetzal,,0,0,\N
TeamRockOrg,\N,https://www.twitter.com/TeamRockOrg,Team,Rock,,1,0,\N
TeamSoloMid,\N,https://www.twitter.com/TeamSoloMid,Team,Solomid,,1,0,\N
TSMReginald,\N,https://www.twitter.com/TSMReginald,Individual,Solomid,Personnel,1,0,\N
TSMTheOddOne,\N,https://www.twitter.com/TSMTheOddOne,Individual,Solomid,Personnel,1,0,\N
TSMWildTurtle,\N,https://www.twitter.com/TSMWildTurtle,Individual,Solomid,LoL,1,0,\N
Bjergsen,\N,https://www.twitter.com/Bjergsen,Individual,Solomid,LoL,1,0,\N
TSMGleeb_,\N,https://www.twitter.com/TSMGleeb_,Individual,Solomid,LoL,1,0,\N
LoLDyrus,\N,https://www.twitter.com/LoLDyrus,Individual,Solomid,LoL,1,0,\N
TSM_Amazing,\N,https://www.twitter.com/TSM_Amazing,Individual,Solomid,LoL,1,0,\N
NinjakenLoL,\N,https://www.twitter.com/NinjakenLoL,Individual,Solomid,LoL,0,0,\N
MegaZeroLoL,\N,https://www.twitter.com/MegaZeroLoL,Individual,Solomid,LoL,0,0,\N
Nightbloo,\N,https://www.twitter.com/Nightbloo,Individual,Solomid,LoL,0,0,\N
TSM_Trixtank,\N,https://www.twitter.com/TSM_Trixtank,Individual,Solomid,Smite,1,0,\N
TSM_Lawbster,\N,https://www.twitter.com/TSM_Lawbster,Individual,Solomid,Smite,1,0,\N
TSM_zimpstar,\N,https://www.twitter.com/TSM_zimpstar,Individual,Solomid,Smite,1,0,\N
TSM_Qvofred,\N,https://www.twitter.com/TSM_Qvofred,Individual,Solomid,Smite,1,0,\N
TSM_Gamehunter,\N,https://www.twitter.com/TSM_Gamehunter,Individual,Solomid,Smite,0,0,\N
DeSchlang,\N,https://www.twitter.com/DeSchlang,Individual,SK Gaming,Personnel,0,0,\N
SKDelpan,\N,https://www.twitter.com/SKDelpan,Individual,SK Gaming,CS:Go,0,0,\N
BruceGrannec,\N,https://www.twitter.com/BruceGrannec,Individual,SK Gaming,FIFA,0,0,\N
SKCandyPanda,\N,https://www.twitter.com/SKCandyPanda,Individual,SK Gaming,LoL,0,0,\N
SKfredy122,\N,https://www.twitter.com/SKfredy122,Individual,SK Gaming,LoL,0,0,\N
LoLJesiz,\N,https://www.twitter.com/LoLJesiz,Individual,SK Gaming,LoL,0,0,\N
TheSvenskeren,\N,https://www.twitter.com/TheSvenskeren,Individual,SK Gaming,LoL,0,0,\N
nRatedlol,\N,https://www.twitter.com/nRatedlol,Individual,SK Gaming,LoL,0,0,\N
SK_CaptainTwigg,\N,https://www.twitter.com/SK_CaptainTwigg,Individual,SK Gaming,Smite,0,0,\N
SKGaming,\N,https://www.twitter.com/SKGaming,Individual,SK Gaming,Starcraft,1,0,\N
TeamWE,\N,https://www.twitter.com/TeamWE,Individual,SK Gaming,WE,0,0,\N
